round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
71,113146,108800,4346,2461,935,2615,51056,48.2,50.8
72,115644,110400,5244,99,8,2860,4419,22.4,63.5
73,115799,110400,5399,62,9,2902,3908,15.9,61.6
74,115885,113600,2285,79,8,1458,2952,26.8,52.9
75,116608,113600,3008,2342,1916,1726,62342,37.6,38.6
76,118987,113600,5387,80,9,2784,4795,16.7,39.8
77,119523,113600,5923,1040,712,3183,28277,36.8,41.4
78,120611,116800,3811,471,283,2143,13513,34.9,41.4
79,121508,116800,4708,3322,1676,2761,74572,44.5,46.3
80,124867,118400,6467,90,7,3232,5245,17.2,44.7
81,125153,118400,6753,838,742,3631,26267,31.9,37.0
82,126641,123200,3441,1067,695,2070,29715,35.9,38.6
83,127745,123200,4545,93,5,2738,4283,21.7,60.2
84,127864,124800,3064,102,31,1826,4247,24.0,42.1
85,128251,124800,3451,396,340,2078,11992,33.0,39.9
86,129263,124800,4463,988,735,2629,26376,37.5,41.6
87,130464,126400,4064,90,7,2427,4450,20.2,44.5
88,130626,126400,4226,584,497,2767,17780,32.8,38.9
89,131656,128000,3656,465,402,2255,15335,30.3,35.6
90,132918,128000,4918,1176,387,2952,26299,44.7,50.4
91,134121,129600,4521,804,299,2633,19386,41.5,48.0
92,134981,131200,3781,486,312,2323,14171,34.3,41.0
93,135591,131200,4391,66,14,2665,3795,17.4,58.4
94,135977,132800,3177,660,581,1965,20483,32.2,35.6
95,136755,132800,3955,346,282,2541,13462,25.7,31.7
96,137186,132800,4386,384,93,2671,10993,34.9,46.1
97,139130,134400,4730,230,153,3106,8512,27.0,42.5
98,139496,134400,5096,320,251,3295,11356,28.2,39.7
99,139876,136000,3876,187,91,2690,7066,26.5,42.7
100,140600,137600,3000,588,463,2010,17026,34.5,39.2
101,141284,137600,3684,1105,774,2455,29078,38.0,41.5
102,142430,137600,4830,247,97,2907,8575,28.8,43.6
103,143299,139200,4099,444,219,2789,13723,32.4,40.6
104,143965,140800,3165,561,510,2276,16322,34.4,39.9
105,144554,140800,3754,220,43,2642,7871,28.0,42.1
