round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
52,104202,100800,3402,376,139,1817,15512,24.2,27.4
53,104916,100800,4116,821,567,2235,23287,35.3,39.0
54,105766,102400,3366,156,43,2103,11114,14.0,17.2
55,106025,102400,3625,154,47,2076,5918,26.0,39.8
56,106485,104000,2485,385,289,1502,10084,38.2,44.7
57,106888,104000,2888,131,35,1672,4155,31.5,52.4
58,107591,104000,3591,183,87,1978,5741,31.9,48.4
59,108275,104000,4275,157,61,2365,5571,28.2,48.7
60,108490,105600,2890,504,241,1682,12471,40.4,46.6
61,109023,105600,3423,124,28,1882,10048,12.3,15.1
62,109194,105600,3594,214,80,2303,6508,32.9,50.7
63,109486,107200,2286,138,86,1486,4315,32.0,48.4
64,109944,107200,2744,256,129,1613,8316,30.8,38.0
65,110225,107200,3025,140,93,1689,5402,25.9,37.4
66,110444,107200,3244,86,35,1822,3680,23.4,45.7
67,111961,107200,4761,312,202,2964,10747,29.0,40.0
68,112329,108800,3529,91,44,1942,10228,8.9,10.9
69,112434,108800,3634,97,44,2152,4959,19.6,34.2
70,113958,110400,3558,89,29,2210,3814,23.3,54.9
71,114116,110400,3716,81,34,2060,3700,21.9,48.8
72,114272,110400,3872,150,25,2262,5104,29.4,52.4
73,114544,112000,2544,290,207,1723,9151,31.7,38.9
74,114890,112000,2890,216,88,1728,6957,31.0,41.1
75,115211,112000,3211,132,48,1846,4322,30.5,52.9
76,115401,112000,3401,168,74,1984,5564,30.2,46.6
77,115648,112000,3648,128,63,2178,5088,25.2,43.6
78,115854,113600,2254,68,29,1462,2922,23.3,45.9
79,115989,113600,2389,126,72,1969,5083,24.8,40.1
80,116599,113600,2999,118,62,1886,4842,24.4,39.6
81,116785,113600,3185,86,9,1892,3435,25.0,55.1
82,116941,113600,3341,376,281,1989,12216,30.8,36.7
83,117395,113600,3795,776,685,2296,26828,28.9,31.6
84,118236,115200,3036,734,630,1815,25556,28.7,30.9
85,119025,115200,3825,1157,1025,2176,37501,30.9,32.7
86,120240,115200,5040,71,12,2757,3908,18.2,60.8
87,120373,116800,3573,1210,1085,2339,40689,29.7,31.5
88,121689,118400,3289,181,51,1941,6217,29.1,42.1
89,122277,118400,3877,173,27,2668,5969,29.0,52.1
90,123216,120000,3216,1066,1006,1925,35327,30.2,31.9
91,124360,120000,4360,57,15,2505,3350,17.0,66.3
92,124485,120000,4485,59,13,2567,3679,16.0,52.2
93,124599,121600,2999,2129,1755,1924,61665,34.5,35.6
94,126756,121600,5156,656,223,2771,16207,40.5,48.7
95,127440,121600,5840,270,171,3181,13179,20.5,26.9
96,127724,124800,2924,84,37,1827,3730,22.5,43.6
97,127886,124800,3086,56,14,1877,2828,19.8,57.8
98,128010,124800,3210,82,10,1927,3457,23.7,52.9
99,128162,124800,3362,368,217,2148,16614,22.1,25.4
100,129046,124800,4246,272,136,3031,9424,28.9,42.4
101,129347,126400,2947,137,39,1913,10375,13.2,16.1
102,129757,126400,3357,743,338,2101,17875,41.6,47.0
103,130733,126400,4333,183,24,2620,6521,28.1,46.7
