round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
48,84674,83968,706,168,112,2403,11807,14.2,17.8
49,84856,83968,888,92,0,,2651,34.7,
50,84996,84736,260,417,317,811,10318,40.4,43.8
51,85465,84736,729,70,0,,1834,38.2,
52,85591,85248,343,143,0,,3159,45.3,
53,85867,85504,363,221,121,844,6433,34.4,39.4
54,86158,85760,398,73,0,,1751,41.7,
55,86291,86016,275,90,0,,2123,42.4,
56,86426,86016,410,128,58,848,2807,45.6,64.8
57,86600,86272,328,143,0,,3269,43.7,
58,86802,86272,530,335,249,1238,8504,39.4,46.0
59,87183,86272,911,7221,7586,1157,205351,35.2,35.4
60,94455,87040,7415,110,0,,7628,14.4,
61,94612,94208,404,83,23,907,2356,35.2,56.6
62,94742,94464,278,106,0,,2148,49.3,
63,94894,94464,430,1321,1283,911,33947,38.9,40.0
64,96272,94720,1552,3807,2781,1822,90243,42.2,43.0
65,100138,94720,5418,378,0,,10623,35.6,
66,100568,98304,2264,135,72,2434,5151,26.2,49.3
67,100754,100352,402,146,0,,2888,50.6,
68,100963,100608,355,119,75,880,10317,11.5,12.5
69,101094,100864,230,142,0,,2891,49.1,
70,101295,100864,431,2121,1873,900,55831,38.0,38.6
71,103475,101120,2355,1140,0,,20109,56.7,
72,104674,102400,2274,520,223,2406,13483,38.6,46.9
73,105247,104448,799,391,85,1158,7204,54.3,64.5
74,105698,104448,1250,168,0,,4028,41.7,
75,105926,105472,454,160,39,927,3405,47.0,64.2
76,106704,105728,976,360,86,2089,7507,48.0,66.3
77,107125,106496,629,436,70,1067,7803,55.9,64.6
78,107621,107008,613,359,0,,6236,57.6,
79,108043,107520,523,364,0,,6535,55.7,
80,108471,107520,951,126,0,1218,3438,36.6,56.3
81,108607,108288,319,178,63,868,4578,38.9,47.7
82,108800,108288,512,115,51,967,3084,37.3,53.8
83,108967,108544,423,63,0,,1623,38.8,
84,109078,108800,278,124,0,,2443,50.8,
85,109259,108800,459,93,29,895,14700,6.3,6.7
86,109364,109056,308,119,0,,2289,52.0,
87,109533,109056,477,233,164,924,6351,36.7,42.7
88,110130,109312,818,158,99,1527,4399,35.9,54.7
89,110342,109312,1030,172,0,,4122,41.7,
90,110584,109312,1272,179,119,1657,4923,36.4,54.5
91,110809,110336,473,72,0,,2087,34.5,
92,111339,110592,747,146,60,2015,4376,33.4,61.4
93,111546,110592,954,102,0,,2775,36.8,
94,111698,111360,338,760,385,918,16350,46.5,49.2
95,112520,111360,1160,138,0,,4053,34.0,
96,112962,112384,578,1308,945,1117,31451,41.6,43.1
97,114333,112384,1949,138,0,,4579,30.1,
98,114808,114176,632,294,153,1076,7407,39.7,46.3
99,115527,114688,839,233,75,1228,5387,43.3,55.8
100,115810,114688,1122,254,30,1620,5413,46.9,66.7
101,116127,115712,415,138,0,,3629,38.0,
102,116322,115968,354,172,49,961,4328,39.7,50.8
103,116552,116224,328,265,124,925,6368,41.6,48.5
104,116876,116224,652,555,454,1086,14551,38.1,41.1
